outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
"C2iN1 C2i_D1.1.1";C2i_D1.1.1;"Savoir structurer une arborescence de dossiers et retrouver un fichier (B1)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D1.2.1";C2i_D1.2.1;"Savoir sécuriser son espace de travail local et distant";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D1.3.1";C2i_D1.3.1;"Savoir utiliser les formats les plus adaptés à l'échange d'informations (B1)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D1.4.1";C2i_D1.4.1;"Savoir créer et extraire une archive avec ou sans compression et la sauvegarder sur un serveur (B3)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D2.1.1";C2i_D2.1.1;"Maitriser son identité numérique (A2)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D2.2.1";C2i_D2.2.1;"Savoir protéger la confidentialité des données à caractère personnel (A2)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D2.3.1";C2i_D2.3.1;"Savoir sous quelles conditions, un document trouvé sur le web, peut être utilisé dans le respect du droit d'auteur (A2)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D2.4.1";C2i_D2.4.1;"Adopter les règles en vigueur et se conformer au bon usage du numérique";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D3.1.1";C2i_D3.1.1;"Savoir utiliser et distinguer les attributs typographiques de caractère, de paragraphe et de page, dans un traitement de texte B4";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D3.1.2";C2i_D3.1.2;"Savoir utiliser et modifier un style de texte dans un traitement de texte (B4)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D3.1.3";C2i_D3.1.3;"Savoir utiliser le masque pour définir l'apparence globale d'un diaporama (B5)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D3.2.1";C2i_D3.2.1;"Savoir générer automatiquement la table des matières dans un document texte structuré (B4)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D3.2.2";C2i_D3.2.2;"Savoir mettre en place des références internes dans un document texte et gérer une bibliographie (B4)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D3.3.1";C2i_D3.3.1;"Savoir intégrer et adapter des images à un document texte (B4)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D3.3.2";C2i_D3.3.2;"Savoir insérer des images et des liens hypertexte dans une page web (B5)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D3.4.1";C2i_D3.4.1;"Savoir présenter différents types de données dans un tableau et le mettre en forme avec un tableur (B4)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D3.4.2";C2i_D3.4.2;"Savoir écrire et recopier des formules arithmétiques dans un tableur (B4)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D3.4.3";C2i_D3.4.3;"Savoir écrire des formules impliquant des plages de cellule (somme, moyenne) dans un tableur (B4)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D3.5.1";C2i_D3.5.1;"Savoir préparer ou adapter un document pour le diffuser";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D4.1.1";C2i_D4.1.1;"Savoir rechercher de l’information avec une démarche adaptée";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D4.2.1";C2i_D4.2.1;"Savoir analyser la fiabilité de l'information obtenue par une recherche sur le web (B2)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D4.3.1";C2i_D4.3.1;"Savoir référencer une ressource numérique en ligne (B2)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D4.4.1";C2i_D4.4.1;"Savoir organiser une veille informationnelle";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D5.1.1";C2i_D5.1.1;"Savoir utiliser un client de messagerie électronique et/ou un webmail et filtrer le courrier électronique (B6)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D5.2.1";C2i_D5.2.1;"Savoir participer à l’organisation de l’activité en ligne d’un groupe";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2iN1 C2i_D5.3.1";C2i_D5.3.1;"Savoir gérer différentes versions d'un même document et assurer le suivi des corrections (B7)";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
